Name;Beschreibung;Kategorie;Zimmer;EZ Preis;DZ Preis;lat;lng;Adresse;Telefon;Website
Dom Hotel;Klassisches Haus in bezaubernder, ruhiger Lage,in der Nähe des Neuen Doms in der Linzer Altstadt. Seit Jahren bestens eingeführtes Haus, bei den zahlreichen Stammgästen besonders beliebt und geschätzt zufolge des wunderbaren Ambientes. Obwohl im Herzen der Stadt ist das Hotel  von Blumen- und Obstgärten umgeben. Die Zimmer verfügen teilweise über eigene Wintergärten, Balkone und Terrassen. Das Hotel bietet Aperitiv - Bar, Sauna, Solarium, Fitnessraum, elegante Tagungsmöglichkeiten und einen großen Hotelparkplatz. Shuttle Service mit Hoteltaxi von und zum Flughafen.;Hotels;40;95;55;483004895,00;142834230,00;4020 Linz, Baumbachstraße 17;+43 732 778441;http://www.domhotel.at (Neues Fenster)
Hotel Prielmayerhof;Familiär geführtes Haus, gediegene Ausstattung, Tiefgarage, Restaurant, Einzelzimmer, Doppelzimmer, Junior-Suiten, zum Teil behindertengerecht, vollklimatisiert, sowie neu renoviert und in zentraler Lage;Hotels;73;75;45;482968472,00;143171502,00;4020 Linz, Weissenwolffstraße 33;+43 732 774131 0;http://www.prielmayerhof.at (Neues Fenster)
Courtyard by Marriot Linz;Das Courtyard by Marriott Linz ist nur wenige Minuten vom historischen Hauptplatz und der Donau gelegen, sowie unweit der Fußgängerzone mit vielen Shops und Einkaufszentren. Mit 236 geräumigen Zimmern und 3 Suiten bietet es allen erdenklichen Komfort und macht dank erstklassiger Austattung und high speed Internet access, hervorragendem Service und Direktanbindung an das Linzer Design Center, einen Aufenthalt zu einem lohnenden Erlebnis.;Hotels;236;90;45;482969839,00;143034512,00;4020 Linz, Europaplatz 2;+43 732 6959 0;http://www.courtyardlinz.at (Neues Fenster)
Steigenberger Hotel;Direkt am Donauufer gelegen heißt Sie das Steigenberger Hotel Linz herzlich willkommen. Genießen Sie einen grandiosen Blick auf den Fluss und profitieren Sie von der zentralen Lage der Stadt.;Hotels;168;84;50;483190506,00;143029810,00;4020 Linz, Am Winterhafen 13;+43 732 7899 0;http://www.linz.steigenberger.at (Neues Fenster)
Youthhotel Linz;Verkehrsgünstige Lage, 2 km zum Stadtzentrum, Straßenbahnhaltestelle WIFI 200 m entfernt mit direkter Verbindung ins Zentrum (4 Stationen zum Bahnhof bzw. Zentrum) Geeignet für Groß- und Kleingruppen (Studenten/Schüler, Busreisende), Einzelreisende, Familien, Radtouristen. Begrünter Innenhof und Park. Zimmer für Langzeitaufenthalte. Waschmaschinen für Gäste. Alle Zimmer mit Bad oder Dusche und Fernseher.;Hotels;103;35,65;27,65;482799054,00;143059203,00;4020 Linz, Wankmüllerhofstraße 39;+43 732 342361;http://www.youthotel-linz.at (Neues Fenster)
Hotel Kleinmünchen;Hotel der 2-Stern-Kategorie am Stadtrand von Linz, moderne Zimmerausstattung, gute Verkehrsverbindungen in die Innenstadt.;Hotels;66;30,25;32,25;482536196,00;143208989,00;4030 Linz, Wiener Straße 406;+43 732 301313;http://www.hotel-kleinmuenchen.at (Neues Fenster)
Design Hotel Harry's Home Linz;"Moderne Architektur, zeitgemäßes Design und perfekte Funktionalität müssen nicht teuer sein und das Beste ist….
je länger man bleibt, desto günstiger wird es. 
Auszeichnung: Trivago Award Oktober 2009 „bestes Budget Designhotel OÖ“";Hotels;77;70,5;51,5;483278503,00;143236328,00;4040 Linz, Donaufeldstraße 3;+43 732 757500;http://www.harrys-home.com (Neues Fenster)
Sankt Magdalena Hotel;Konzentriertes Arbeiten, Diskutieren, Weiterbilden und Konzepte entwickeln brauchen ein optimales Umfeld. Hoch über den Dächern von Linz genießen Sie einen grandiosen Ausblick auf die Landeshauptstadt bis hin zu den Alpen und die absolute Ruhe am Waldrand und der Pferdeeisenbahn-Promenade. Die professionelle Umsetzung Ihrer Veranstaltung wird hier zum Vergnügen. Kostenlose Parkplätze gibt es direkt vor dem Haus. Unsere Zimmer verfügen über digitale und analoge Internetanschlüsse.;Hotels;67;53,25;45,25;483390967,00;143061523,00;4040 Linz, Schatzweg 177;+43 732 253041 0;http://www.sanktmagdalena.at (Neues Fenster)
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
